"STYLE_CD","COUNT(*)"
AHSAW18801,3
AHSAW18901,3
AHSAW19341,3
AHSAW19871,3
AHSAW19881,7
AHSAW20341,4
AHSAW20981,3
AHSAW21121,3
AHSAW21131,3
AHTAM16312,3
AHTAM16321,3
AHTAM16532,3
AHTAM16561,3
AHTAM16591,3
AHTAM17741,6
AHTAM17831,3
AHTAM18401,36
AHTAM18471,3
AHTAM19301,6
AHTAM19561,3
AHTAM19671,3
AHTAM20301,12
AHTAM20551,3
AHTAM20601,6
AHTAM20701,3
AHTAM20711,12
AHTAW16772,3
AHTAW16781,9
AHTAW19601,12
AHTAW20704,3
AHTAW21801,5
AHTM41021,1
AHTM41121,1
AHTM51011,3
AHTW42111,1
AHUAA20421,6
AHUAM18331,8
AHUAW20501,6
AHUAW20511,6
AHUAW21511,3
AHUBA15501,4
AHUBA15512,5
AHUBM17801,6
AHUBS16601,3
AHUBS16611,3
AHUCW15913,10
AHUCW16901,6
AHUCW16941,3
AHUCW17821,3
AHUCW18852,3
AHUCW19861,9
AHUCW20811,8
AHVAW15011,4
AHVAW16001,12
AHVAW18500,3
AHWAM19701,6
AHWAM19811,26
AHWAM19841,6
AHWAM20531,3
AHWAM20861,6
AHWAS18632,3
AHWAS19601,9
AHWAS20601,9
AHWAS20631,3
AHWAS21601,9
AHWAW17101,15
AHWAW17621,3
AHWAW18101,27
AHWAW18311,20
AHWAW18521,6
AHWAW19101,24
AHWAW19331,6
AHWAW19411,3
AHWAW19601,19
AHWAW20421,6
AHWAW21351,6
AHWAW21501,6
AHWAW21611,9
AHWAW21701,6
AHYM41011,2
AHYM43021,1
AHYM43031,1
AHYM46031,3
AHYW42221,1
AHZ1M16031,3
AHZ1M16113,6
AHZ1M16132,3
AHZ1M16152,3
AHZ1M16351,3
AHZ1M16361,3
AHZ1W15021,3
AHZ1W15081,3
AHZ1W15312,3
AHZ1W16321,6
AITAX21201,3
AITAX21311,3
AMTAM21001,3
AMTAM21004,3
AMTAW21004,3
ANLAM21201,3
AOPAW21301,6
AOSAM20201,8
AOSAM20231,4
AOSAW20101,3
APTAW17401,6
APUAM17811,3
APUAW17421,6
ARABM17331,6
ARABM19331,3
ARABM19351,3
ARABM20351,6
ARABW21301,3
ARABW21341,3
ARAJM19421,3
ARAJW20431,3
ARAJW20461,3
ARAJW21421,3
ARBAW18511,6
ARLAM17201,15
ARLDM17101,9
ARLDM19201,12
ARLDM20331,3
ARRAM18031,3
ARRAM21021,3
ARRAM22711,3
AXBS51011,3
AXCBW15242,3
AXCBW15811,3
AXCBW16562,3
AXCBW17211,3
AXCBW17242,9
AXCBW17511,6
AXCBW17554,3
AXCCA21111,6
AXCCS17411,6
AXCCS19111,6
AXCCS19211,9
AXCCS20114,4
AXCCS21711,6
AXCCW15570,6
AXCCW15572,12
AXCCW18113,3
AXCCW18664,8
AXCCW18692,6
AXCW44121,1
AXCW44211,1
AXDA41211,1
AXDM41311,1
AXDM44121,1
AXDM44131,1
AXDM44211,1
AXDM44231,1
AXDM45521,1
AXDM45531,1
AXDM45621,1
AXDM50711,3
AXDM51611,4
AXDM51711,3
AXDM55511,4
AXDS41111,1
AXDS44111,1
AXDS44311,1
